x,y,z
-160.134693652,79.4050039019,839.715835916
-160.401917165,79.4386938351,839.719662204
-160.670799104,79.4721647018,839.723446422
-160.941344364,79.5054144088,839.727188552
-161.21355762,79.5384408501,839.730888576
-161.487443323,79.5712419073,839.734546476
-161.763005689,79.60381545,839.738162234
-162.040248695,79.6361593356,839.741735832
-162.319176066,79.6682714101,839.745267253
-162.599791273,79.7001495079,839.748756479
-162.882097522,79.7317914526,839.752203494
-163.166097747,79.763195057,839.755608281
-163.4517946,79.7943581235,839.758970823
-163.739190448,79.8252784448,839.762291104
-164.02828736,79.8559538035,839.765569107
-164.3190871,79.8863819733,839.768804815
-164.611591121,79.9165607191,839.771998214
-164.905800555,79.9464877971,839.775149287
-165.201716204,79.9761609558,839.778258019
-165.499338536,80.0055779359,839.781324393
-165.798667669,80.0347364714,839.784348396
-166.099703371,80.0636342894,839.787330012
-166.402445047,80.092269111,839.790269226
-166.706891732,80.1206386517,839.793166023
-167.013042082,80.1487406222,839.79602039
-167.320894368,80.1765727285,839.79883231
-167.630446463,80.2041326725,839.801601771
-167.941695842,80.2314181532,839.804328759
-168.254639565,80.2584268665,839.80701326
-168.569274274,80.2851565063,839.809655259
-168.885596186,80.3116047649,839.812254744
-169.203601082,80.3377693341,839.814811702
-169.523284299,80.363647905,839.817326119
-169.844640729,80.3892381696,839.819797983
-170.1676648,80.4145378209,839.822227281
-170.492350481,80.4395445539,839.824614001
-170.818691267,80.4642560662,839.826958129
-171.146680173,80.4886700588,839.829259655
-171.47630973,80.5127842368,839.831518566
-171.807571976,80.5365963103,839.83373485
-172.140458449,80.5601039951,839.835908496
-172.474960185,80.5833050135,839.838039493
-172.811067707,80.6061970952,839.840127828
-173.148771022,80.6287779781,839.842173493
-173.488059614,80.651045409,839.844176474
-173.828922441,80.6729971448,839.846136763
-174.171347929,80.694630953,839.848054348
-174.515323966,80.7159446129,839.849929219
-174.860837901,80.7369359163,839.851761366
-175.207876535,80.7576026685,839.853550779
-175.556426125,80.7779426893,839.855297449
-175.906472373,80.7979538136,839.857001366
-176.258000427,80.8176338928,839.85866252
-176.61099488,80.8369807955,839.860280903
-176.965439765,80.8559924083,839.861856505
-177.321318554,80.8746666373,839.863389318
-177.678614158,80.8930014085,839.864879332
-178.037308926,80.9109946689,839.866326541
-178.397384643,80.928644388,839.867730935
-178.758822533,80.9459485579,839.869092506
-179.121603257,80.9629051951,839.870411247
-179.485706916,80.9795123411,839.87168715
-179.851113052,80.9957680634,839.872920207
,,
179.782199351,81.0116704567,839.874110411
179.414251861,81.0272176434,839.875257756
179.045066599,81.0424077754,839.876362233
178.674666232,81.0572390343,839.877423836
178.303073972,81.0717096328,839.878442559
177.930313567,81.0858178157,839.879418396
177.5564093,81.0995618606,839.88035134
177.181385979,81.1129400791,839.881241384
176.805268935,81.1259508177,839.882088525
176.42808401,81.1385924588,839.882892754
176.049857553,81.1508634214,839.883654069
175.670616413,81.1627621624,839.884372462
175.290387926,81.1742871771,839.885047929
174.909199909,81.1854370004,839.885680465
174.527080648,81.1962102078,839.886270065
174.144058892,81.2066054156,839.886816726
173.760163835,81.2166212825,839.887320441
173.375425114,81.2262565102,839.887781208
172.989872787,81.2355098439,839.888199023
172.603537329,81.2443800734,839.888573881
172.216449614,81.2528660339,839.888905779
171.828640903,81.2609666066,839.889194714
171.440142831,81.2686807193,839.889440682
171.050987392,81.2760073473,839.88964368
170.661206924,81.2829455141,839.889803706
170.270834094,81.2894942918,839.889920757
169.879901881,81.2956528021,839.88999483
169.488443564,81.3014202162,839.890025923
169.096492698,81.3067957561,839.890014035
168.704083106,81.3117786948,839.889959162
168.311248856,81.3163683567,839.889861304
167.918024244,81.3205641179,839.889720459
167.52444378,81.3243654074,839.889536625
167.130542164,81.3277717063,839.889309801
166.736354273,81.3307825494,839.889039987
166.341915138,81.3333975245,839.888727182
165.94725993,81.3356162731,839.888371384
165.552423936,81.337438491,839.887972594
165.157442543,81.3388639276,839.887530811
164.762351219,81.3398923871,839.887046035
164.36718549,81.340523728,839.886518266
163.971980925,81.3407578631,839.885947505
163.576773113,81.3405947601,839.885333753
163.181597645,81.3400344413,839.884677009
162.786490095,81.3390769834,839.883977275
162.391486,81.337722518,839.883234552
161.996620839,81.3359712308,839.88244884
161.601930014,81.3338233621,839.881620143
161.207448833,81.3312792063,839.88074846
160.813212489,81.3283391118,839.879833794
160.41925604,81.3250034806,839.878876147
160.025614392,81.3212727684,839.877875522
159.632322281,81.3171474838,839.876831919
159.23941425,81.3126281885,839.875745343
158.846924637,81.3077154963,839.874615796
158.454887553,81.3024100732,839.87344328
158.063336866,81.2967126368,839.872227799
157.672306182,81.2906239557,839.870969356
157.281828832,81.2841448491,839.869667954
156.891937849,81.2772761862,839.868323598
156.502665961,81.2700188857,839.866936291
156.114045564,81.2623739151,839.865506037
155.726108719,81.2543422903,839.86403284
155.338887124,81.2459250745,839.862516706
154.952412112,81.2371233779,839.860957637
154.566714628,81.2279383568,839.85935564
154.18182522,81.2183712131,839.857710719
153.797774025,81.2084231932,839.856022879
153.414590755,81.1980955874,839.854292126
153.032304687,81.1873897292,839.852518465
152.650944653,81.176306994,839.850701901
152.270539022,81.1648487992,839.848842442
151.891115699,81.1530166021,839.846940093
151.512702109,81.1408119002,839.844994859
151.135325189,81.1282362295,839.843006748
150.759011379,81.1152911639,839.840975767
150.383786616,81.1019783142,839.838901921
150.009676324,81.0882993274,839.836785219
149.636705408,81.0742558854,839.834625667
149.264898246,81.0598497041,839.832423272
148.894278684,81.0450825328,839.830178043
148.524870032,81.0299561529,839.827889987
148.156695057,81.0144723768,839.825559111
147.78977598,80.9986330474,839.823185425
147.424134471,80.9824400366,839.820768936
